timestamp,uid,name,temperatureWater,openClosed
2026-07-13 11:30:04,flb6941,Frauenbad Stadthausquai,25,offen
2026-07-13 11:30:04,fb006,Freibad Allenmoos,25,offen
2026-07-13 11:30:04,fb008,Freibad Auhof,25,offen
2026-07-13 11:30:04,fb016,Freibad Dolder,24,offen
2026-07-13 11:30:04,fb012,Freibad Heuried,26,offen
2026-07-13 11:30:04,fb002,Freibad Letzigraben,25,offen
2026-07-13 11:30:04,fb013,Freibad Seebach,25,offen
2026-07-13 11:30:04,fb018,Freibad Zwischen den Hölzern,24,offen
2026-07-13 11:30:04,flb6942,Männerbad Schanzengraben,25,offen
2026-07-13 11:30:04,seb6943,Seebad Enge,26,offen
2026-07-13 11:30:04,seb6945,Seebad Utoquai,24,offen
2026-07-13 11:30:04,seb6946,Strandbad Mythenquai,26,offen
2026-07-13 11:30:04,seb6947,Strandbad Tiefenbrunnen,25,offen
2026-07-13 11:30:04,seb6948,Strandbad Wollishofen,26,offen
2026-07-13 11:44:20,flb6938,Flussbad Au-Höngg,24,offen
2026-07-13 11:44:20,flb6939,Flussbad Oberer Letten,24,offen
2026-07-13 11:44:20,flb6940,Flussbad Unterer Letten,24,offen
2026-07-13 11:44:20,flb8803,Flussbad Unterer Letten,24,offen
2026-07-13 11:44:20,flb6941,Frauenbad Stadthausquai,25,offen
2026-07-13 11:44:20,fb006,Freibad Allenmoos,25,offen
2026-07-13 11:44:20,fb008,Freibad Auhof,25,offen
2026-07-13 11:44:20,fb016,Freibad Dolder,24,offen
2026-07-13 11:44:20,fb012,Freibad Heuried,26,offen
2026-07-13 11:44:20,fb002,Freibad Letzigraben,25,offen
2026-07-13 11:44:20,fb013,Freibad Seebach,25,offen
2026-07-13 11:44:20,fb018,Freibad Zwischen den Hölzern,24,offen
2026-07-13 11:44:20,flb6942,Männerbad Schanzengraben,25,offen
2026-07-13 11:44:20,seb6943,Seebad Enge,26,offen
2026-07-13 11:44:20,seb6945,Seebad Utoquai,24,offen
2026-07-13 11:44:20,seb6946,Strandbad Mythenquai,26,offen
2026-07-13 11:44:20,seb6947,Strandbad Tiefenbrunnen,25,offen
2026-07-13 11:44:20,seb6948,Strandbad Wollishofen,26,offen
2026-07-13 11:45:05,flb6938,Flussbad Au-Höngg,24,offen
2026-07-13 11:45:05,flb6939,Flussbad Oberer Letten,24,offen
2026-07-13 11:45:05,flb6940,Flussbad Unterer Letten,24,offen
2026-07-13 11:45:05,flb8803,Flussbad Unterer Letten,24,offen
2026-07-13 11:45:05,flb6941,Frauenbad Stadthausquai,25,offen
2026-07-13 11:45:05,fb006,Freibad Allenmoos,25,offen
2026-07-13 11:45:05,fb008,Freibad Auhof,25,offen
2026-07-13 11:45:05,fb016,Freibad Dolder,24,offen
2026-07-13 11:45:05,fb012,Freibad Heuried,26,offen
2026-07-13 11:45:05,fb002,Freibad Letzigraben,25,offen
2026-07-13 11:45:05,fb013,Freibad Seebach,25,offen
2026-07-13 11:45:05,fb018,Freibad Zwischen den Hölzern,24,offen
2026-07-13 11:45:05,flb6942,Männerbad Schanzengraben,25,offen
2026-07-13 11:45:05,seb6943,Seebad Enge,26,offen
2026-07-13 11:45:05,seb6945,Seebad Utoquai,24,offen
2026-07-13 11:45:05,seb6946,Strandbad Mythenquai,26,offen
2026-07-13 11:45:05,seb6947,Strandbad Tiefenbrunnen,25,offen
2026-07-13 11:45:05,seb6948,Strandbad Wollishofen,26,offen
2026-07-13 11:59:21,flb6938,Flussbad Au-Höngg,24,offen
2026-07-13 11:59:21,flb6939,Flussbad Oberer Letten,24,offen
2026-07-13 11:59:21,flb6940,Flussbad Unterer Letten,24,offen
2026-07-13 11:59:21,flb8803,Flussbad Unterer Letten,24,offen
2026-07-13 11:59:21,flb6941,Frauenbad Stadthausquai,25,offen
2026-07-13 11:59:21,fb006,Freibad Allenmoos,25,offen
2026-07-13 11:59:21,fb008,Freibad Auhof,25,offen
2026-07-13 11:59:21,fb016,Freibad Dolder,24,offen
2026-07-13 11:59:21,fb012,Freibad Heuried,26,offen
2026-07-13 11:59:21,fb002,Freibad Letzigraben,25,offen
2026-07-13 11:59:21,fb013,Freibad Seebach,25,offen
2026-07-13 11:59:21,fb018,Freibad Zwischen den Hölzern,24,offen
2026-07-13 11:59:21,flb6942,Männerbad Schanzengraben,25,offen
2026-07-13 11:59:21,seb6943,Seebad Enge,26,offen
2026-07-13 11:59:21,seb6945,Seebad Utoquai,24,offen
2026-07-13 11:59:21,seb6946,Strandbad Mythenquai,26,offen
2026-07-13 11:59:21,seb6947,Strandbad Tiefenbrunnen,25,offen
2026-07-13 11:59:21,seb6948,Strandbad Wollishofen,26,offen
2026-07-13 12:00:06,flb6938,Flussbad Au-Höngg,24,offen
2026-07-13 12:00:06,flb6939,Flussbad Oberer Letten,24,offen
2026-07-13 12:00:06,flb6940,Flussbad Unterer Letten,24,offen
2026-07-13 12:00:06,flb8803,Flussbad Unterer Letten,24,offen
2026-07-13 12:00:06,flb6941,Frauenbad Stadthausquai,25,offen
2026-07-13 12:00:06,fb006,Freibad Allenmoos,25,offen
2026-07-13 12:00:06,fb008,Freibad Auhof,25,offen
2026-07-13 12:00:06,fb016,Freibad Dolder,24,offen
2026-07-13 12:00:06,fb012,Freibad Heuried,26,offen
2026-07-13 12:00:06,fb002,Freibad Letzigraben,25,offen
2026-07-13 12:00:06,fb013,Freibad Seebach,25,offen
2026-07-13 12:00:06,fb018,Freibad Zwischen den Hölzern,24,offen
2026-07-13 12:00:06,flb6942,Männerbad Schanzengraben,25,offen
2026-07-13 12:00:06,seb6943,Seebad Enge,26,offen
2026-07-13 12:00:06,seb6945,Seebad Utoquai,24,offen
2026-07-13 12:00:06,seb6946,Strandbad Mythenquai,26,offen
2026-07-13 12:00:06,seb6947,Strandbad Tiefenbrunnen,25,offen
2026-07-13 12:00:06,seb6948,Strandbad Wollishofen,26,offen
2026-07-13 12:14:20,flb6938,Flussbad Au-Höngg,24,offen
2026-07-13 12:14:20,flb6939,Flussbad Oberer Letten,24,offen
2026-07-13 12:14:20,flb6940,Flussbad Unterer Letten,24,offen
2026-07-13 12:14:20,flb8803,Flussbad Unterer Letten,24,offen
2026-07-13 12:14:20,flb6941,Frauenbad Stadthausquai,25,offen
2026-07-13 12:14:20,fb006,Freibad Allenmoos,25,offen
2026-07-13 12:14:20,fb008,Freibad Auhof,25,offen
2026-07-13 12:14:20,fb016,Freibad Dolder,24,offen
2026-07-13 12:14:20,fb012,Freibad Heuried,26,offen
2026-07-13 12:14:20,fb002,Freibad Letzigraben,25,offen
2026-07-13 12:14:20,fb013,Freibad Seebach,25,offen
2026-07-13 12:14:20,fb018,Freibad Zwischen den Hölzern,24,offen
2026-07-13 12:14:20,flb6942,Männerbad Schanzengraben,25,offen
2026-07-13 12:14:20,seb6943,Seebad Enge,26,offen
2026-07-13 12:14:20,seb6945,Seebad Utoquai,24,offen
2026-07-13 12:14:20,seb6946,Strandbad Mythenquai,26,offen
2026-07-13 12:14:20,seb6947,Strandbad Tiefenbrunnen,25,offen
2026-07-13 12:14:20,seb6948,Strandbad Wollishofen,26,offen
2026-07-13 12:15:04,flb6938,Flussbad Au-Höngg,24,offen
2026-07-13 12:15:04,flb6939,Flussbad Oberer Letten,24,offen
2026-07-13 12:15:04,flb6940,Flussbad Unterer Letten,24,offen
2026-07-13 12:15:04,flb8803,Flussbad Unterer Letten,24,offen
2026-07-13 12:15:04,flb6941,Frauenbad Stadthausquai,25,offen
2026-07-13 12:15:04,fb006,Freibad Allenmoos,25,offen
2026-07-13 12:15:04,fb008,Freibad Auhof,25,offen
2026-07-13 12:15:04,fb016,Freibad Dolder,24,offen
2026-07-13 12:15:04,fb012,Freibad Heuried,26,offen
2026-07-13 12:15:04,fb002,Freibad Letzigraben,25,offen
2026-07-13 12:15:04,fb013,Freibad Seebach,25,offen
2026-07-13 12:15:04,fb018,Freibad Zwischen den Hölzern,24,offen
2026-07-13 12:15:04,flb6942,Männerbad Schanzengraben,25,offen
2026-07-13 12:15:04,seb6943,Seebad Enge,26,offen
2026-07-13 12:15:04,seb6945,Seebad Utoquai,24,offen
2026-07-13 12:15:04,seb6946,Strandbad Mythenquai,26,offen
2026-07-13 12:15:04,seb6947,Strandbad Tiefenbrunnen,25,offen
2026-07-13 12:15:04,seb6948,Strandbad Wollishofen,26,offen
2026-07-13 12:30:04,flb6938,Flussbad Au-Höngg,24,offen
2026-07-13 12:30:04,flb6939,Flussbad Oberer Letten,24,offen
2026-07-13 12:30:04,flb6940,Flussbad Unterer Letten,24,offen
2026-07-13 12:30:04,flb8803,Flussbad Unterer Letten,24,offen
2026-07-13 12:30:04,flb6941,Frauenbad Stadthausquai,25,offen
2026-07-13 12:30:04,fb006,Freibad Allenmoos,25,offen
2026-07-13 12:30:04,fb008,Freibad Auhof,25,offen
2026-07-13 12:30:04,fb016,Freibad Dolder,24,offen
2026-07-13 12:30:04,fb012,Freibad Heuried,26,offen
2026-07-13 12:30:04,fb002,Freibad Letzigraben,25,offen
2026-07-13 12:30:04,fb013,Freibad Seebach,25,offen
2026-07-13 12:30:04,fb018,Freibad Zwischen den Hölzern,24,offen
2026-07-13 12:30:04,flb6942,Männerbad Schanzengraben,25,offen
2026-07-13 12:30:04,seb6943,Seebad Enge,26,offen
2026-07-13 12:30:04,seb6945,Seebad Utoquai,24,offen
2026-07-13 12:30:04,seb6946,Strandbad Mythenquai,26,offen
2026-07-13 12:30:04,seb6947,Strandbad Tiefenbrunnen,25,offen
2026-07-13 12:30:04,seb6948,Strandbad Wollishofen,26,offen
2026-07-13 12:44:18,flb6938,Flussbad Au-Höngg,24,offen
2026-07-13 12:44:18,flb6939,Flussbad Oberer Letten,24,offen
2026-07-13 12:44:18,flb6940,Flussbad Unterer Letten,24,offen
2026-07-13 12:44:18,flb8803,Flussbad Unterer Letten,24,offen
2026-07-13 12:44:18,flb6941,Frauenbad Stadthausquai,25,offen
2026-07-13 12:44:18,fb006,Freibad Allenmoos,25,offen
2026-07-13 12:44:18,fb008,Freibad Auhof,25,offen
2026-07-13 12:44:18,fb016,Freibad Dolder,24,offen
2026-07-13 12:44:18,fb012,Freibad Heuried,26,offen
2026-07-13 12:44:18,fb002,Freibad Letzigraben,25,offen
2026-07-13 12:44:18,fb013,Freibad Seebach,25,offen
2026-07-13 12:44:18,fb018,Freibad Zwischen den Hölzern,24,offen
2026-07-13 12:44:18,flb6942,Männerbad Schanzengraben,25,offen
2026-07-13 12:44:18,seb6943,Seebad Enge,26,offen
2026-07-13 12:44:18,seb6945,Seebad Utoquai,24,offen
2026-07-13 12:44:18,seb6946,Strandbad Mythenquai,26,offen
2026-07-13 12:44:18,seb6947,Strandbad Tiefenbrunnen,25,offen
2026-07-13 12:44:18,seb6948,Strandbad Wollishofen,26,offen
2026-07-13 12:45:08,flb6938,Flussbad Au-Höngg,24,offen
2026-07-13 12:45:08,flb6939,Flussbad Oberer Letten,24,offen
2026-07-13 12:45:08,flb6940,Flussbad Unterer Letten,24,offen
2026-07-13 12:45:08,flb8803,Flussbad Unterer Letten,24,offen
2026-07-13 12:45:08,flb6941,Frauenbad Stadthausquai,25,offen
2026-07-13 12:45:08,fb006,Freibad Allenmoos,25,offen
2026-07-13 12:45:08,fb008,Freibad Auhof,25,offen
2026-07-13 12:45:08,fb016,Freibad Dolder,24,offen
2026-07-13 12:45:08,fb012,Freibad Heuried,26,offen
2026-07-13 12:45:08,fb002,Freibad Letzigraben,25,offen
2026-07-13 12:45:08,fb013,Freibad Seebach,25,offen
2026-07-13 12:45:08,fb018,Freibad Zwischen den Hölzern,24,offen
2026-07-13 12:45:08,flb6942,Männerbad Schanzengraben,25,offen
2026-07-13 12:45:08,seb6943,Seebad Enge,26,offen
2026-07-13 12:45:08,seb6945,Seebad Utoquai,24,offen
2026-07-13 12:45:08,seb6946,Strandbad Mythenquai,26,offen
2026-07-13 12:45:08,seb6947,Strandbad Tiefenbrunnen,25,offen
2026-07-13 12:45:08,seb6948,Strandbad Wollishofen,26,offen
2026-07-13 12:59:22,flb6938,Flussbad Au-Höngg,24,offen
2026-07-13 12:59:22,flb6939,Flussbad Oberer Letten,24,offen
2026-07-13 12:59:22,flb6940,Flussbad Unterer Letten,24,offen
2026-07-13 12:59:22,flb8803,Flussbad Unterer Letten,24,offen
2026-07-13 12:59:22,flb6941,Frauenbad Stadthausquai,25,offen
2026-07-13 12:59:22,fb006,Freibad Allenmoos,25,offen
2026-07-13 12:59:22,fb008,Freibad Auhof,25,offen
2026-07-13 12:59:22,fb016,Freibad Dolder,24,offen
2026-07-13 12:59:22,fb012,Freibad Heuried,26,offen
2026-07-13 12:59:22,fb002,Freibad Letzigraben,25,offen
2026-07-13 12:59:22,fb013,Freibad Seebach,25,offen
2026-07-13 12:59:22,fb018,Freibad Zwischen den Hölzern,24,offen
2026-07-13 12:59:22,flb6942,Männerbad Schanzengraben,25,offen
2026-07-13 12:59:22,seb6943,Seebad Enge,26,offen
2026-07-13 12:59:22,seb6945,Seebad Utoquai,24,offen
2026-07-13 12:59:22,seb6946,Strandbad Mythenquai,26,offen
2026-07-13 12:59:22,seb6947,Strandbad Tiefenbrunnen,25,offen
2026-07-13 12:59:22,seb6948,Strandbad Wollishofen,26,offen
2026-07-13 13:14:19,flb6938,Flussbad Au-Höngg,24,offen
2026-07-13 13:14:19,flb6939,Flussbad Oberer Letten,24,offen
2026-07-13 13:14:19,flb6940,Flussbad Unterer Letten,24,offen
2026-07-13 13:14:19,flb8803,Flussbad Unterer Letten,24,offen
2026-07-13 13:14:19,flb6941,Frauenbad Stadthausquai,25,offen
2026-07-13 13:14:19,fb006,Freibad Allenmoos,25,offen
2026-07-13 13:14:19,fb008,Freibad Auhof,25,offen
2026-07-13 13:14:19,fb016,Freibad Dolder,24,offen
2026-07-13 13:14:19,fb012,Freibad Heuried,26,offen
2026-07-13 13:14:19,fb002,Freibad Letzigraben,25,offen
2026-07-13 13:14:19,fb013,Freibad Seebach,25,offen
2026-07-13 13:14:19,fb018,Freibad Zwischen den Hölzern,24,offen
2026-07-13 13:14:19,flb6942,Männerbad Schanzengraben,25,offen
2026-07-13 13:14:19,seb6943,Seebad Enge,26,offen
2026-07-13 13:14:19,seb6945,Seebad Utoquai,24,offen
2026-07-13 13:14:19,seb6946,Strandbad Mythenquai,26,offen
2026-07-13 13:14:19,seb6947,Strandbad Tiefenbrunnen,25,offen
2026-07-13 13:14:19,seb6948,Strandbad Wollishofen,26,offen
2026-07-13 13:15:04,flb6938,Flussbad Au-Höngg,24,offen
2026-07-13 13:15:04,flb6939,Flussbad Oberer Letten,24,offen
2026-07-13 13:15:04,flb6940,Flussbad Unterer Letten,24,offen
2026-07-13 13:15:04,flb8803,Flussbad Unterer Letten,24,offen
2026-07-13 13:15:04,flb6941,Frauenbad Stadthausquai,25,offen
2026-07-13 13:15:04,fb006,Freibad Allenmoos,25,offen
2026-07-13 13:15:04,fb008,Freibad Auhof,25,offen
2026-07-13 13:15:04,fb016,Freibad Dolder,24,offen
2026-07-13 13:15:04,fb012,Freibad Heuried,26,offen
2026-07-13 13:15:04,fb002,Freibad Letzigraben,25,offen
2026-07-13 13:15:04,fb013,Freibad Seebach,25,offen
2026-07-13 13:15:04,fb018,Freibad Zwischen den Hölzern,24,offen
2026-07-13 13:15:04,flb6942,Männerbad Schanzengraben,25,offen
2026-07-13 13:15:04,seb6943,Seebad Enge,26,offen
2026-07-13 13:15:04,seb6945,Seebad Utoquai,24,offen
2026-07-13 13:15:04,seb6946,Strandbad Mythenquai,26,offen
2026-07-13 13:15:04,seb6947,Strandbad Tiefenbrunnen,25,offen
2026-07-13 13:15:04,seb6948,Strandbad Wollishofen,26,offen
2026-07-13 13:29:17,flb6938,Flussbad Au-Höngg,24,offen
2026-07-13 13:29:17,flb6939,Flussbad Oberer Letten,24,offen
2026-07-13 13:29:17,flb6940,Flussbad Unterer Letten,24,offen
2026-07-13 13:29:17,flb8803,Flussbad Unterer Letten,24,offen
2026-07-13 13:29:17,flb6941,Frauenbad Stadthausquai,25,offen
2026-07-13 13:29:17,fb006,Freibad Allenmoos,25,offen
2026-07-13 13:29:17,fb008,Freibad Auhof,25,offen
2026-07-13 13:29:17,fb016,Freibad Dolder,24,offen
2026-07-13 13:29:17,fb012,Freibad Heuried,26,offen
2026-07-13 13:29:17,fb002,Freibad Letzigraben,25,offen
2026-07-13 13:29:17,fb013,Freibad Seebach,25,offen
2026-07-13 13:29:17,fb018,Freibad Zwischen den Hölzern,25,offen
2026-07-13 13:29:17,flb6942,Männerbad Schanzengraben,25,offen
2026-07-13 13:29:17,seb6943,Seebad Enge,26,offen
2026-07-13 13:29:17,seb6945,Seebad Utoquai,24,offen
2026-07-13 13:29:17,seb6946,Strandbad Mythenquai,26,offen
2026-07-13 13:29:17,seb6947,Strandbad Tiefenbrunnen,25,offen
2026-07-13 13:29:17,seb6948,Strandbad Wollishofen,26,offen
2026-07-13 13:30:06,flb6938,Flussbad Au-Höngg,24,offen
2026-07-13 13:30:06,flb6939,Flussbad Oberer Letten,24,offen
2026-07-13 13:30:06,flb6940,Flussbad Unterer Letten,24,offen
2026-07-13 13:30:06,flb8803,Flussbad Unterer Letten,24,offen
2026-07-13 13:30:06,flb6941,Frauenbad Stadthausquai,25,offen
2026-07-13 13:30:06,fb006,Freibad Allenmoos,25,offen
2026-07-13 13:30:06,fb008,Freibad Auhof,25,offen
2026-07-13 13:30:06,fb016,Freibad Dolder,24,offen
2026-07-13 13:30:06,fb012,Freibad Heuried,26,offen
2026-07-13 13:30:06,fb002,Freibad Letzigraben,25,offen
2026-07-13 13:30:06,fb013,Freibad Seebach,25,offen
2026-07-13 13:30:06,fb018,Freibad Zwischen den Hölzern,25,offen
2026-07-13 13:30:06,flb6942,Männerbad Schanzengraben,25,offen
2026-07-13 13:30:06,seb6943,Seebad Enge,26,offen
2026-07-13 13:30:06,seb6945,Seebad Utoquai,24,offen
2026-07-13 13:30:06,seb6946,Strandbad Mythenquai,26,offen
2026-07-13 13:30:06,seb6947,Strandbad Tiefenbrunnen,25,offen
2026-07-13 13:30:06,seb6948,Strandbad Wollishofen,26,offen
2026-07-13 13:44:27,flb6938,Flussbad Au-Höngg,24,offen
2026-07-13 13:44:27,flb6939,Flussbad Oberer Letten,24,offen
2026-07-13 13:44:27,flb6940,Flussbad Unterer Letten,24,offen
2026-07-13 13:44:27,flb8803,Flussbad Unterer Letten,24,offen
2026-07-13 13:44:27,flb6941,Frauenbad Stadthausquai,25,offen
2026-07-13 13:44:27,fb006,Freibad Allenmoos,25,offen
2026-07-13 13:44:27,fb008,Freibad Auhof,25,offen
2026-07-13 13:44:27,fb016,Freibad Dolder,24,offen
2026-07-13 13:44:27,fb012,Freibad Heuried,26,offen
2026-07-13 13:44:27,fb002,Freibad Letzigraben,25,offen
2026-07-13 13:44:27,fb013,Freibad Seebach,25,offen
2026-07-13 13:44:27,fb018,Freibad Zwischen den Hölzern,25,offen
2026-07-13 13:44:27,flb6942,Männerbad Schanzengraben,25,offen
2026-07-13 13:44:27,seb6943,Seebad Enge,26,offen
2026-07-13 13:44:27,seb6945,Seebad Utoquai,24,offen
2026-07-13 13:44:27,seb6946,Strandbad Mythenquai,26,offen
2026-07-13 13:44:27,seb6947,Strandbad Tiefenbrunnen,25,offen
2026-07-13 13:44:27,seb6948,Strandbad Wollishofen,26,offen
2026-07-13 13:45:05,flb6938,Flussbad Au-Höngg,24,offen
2026-07-13 13:45:05,flb6939,Flussbad Oberer Letten,24,offen
2026-07-13 13:45:05,flb6940,Flussbad Unterer Letten,24,offen
2026-07-13 13:45:05,flb8803,Flussbad Unterer Letten,24,offen
2026-07-13 13:45:05,flb6941,Frauenbad Stadthausquai,25,offen
2026-07-13 13:45:05,fb006,Freibad Allenmoos,25,offen
2026-07-13 13:45:05,fb008,Freibad Auhof,25,offen
2026-07-13 13:45:05,fb016,Freibad Dolder,24,offen
2026-07-13 13:45:05,fb012,Freibad Heuried,26,offen
2026-07-13 13:45:05,fb002,Freibad Letzigraben,25,offen
2026-07-13 13:45:05,fb013,Freibad Seebach,25,offen
2026-07-13 13:45:05,fb018,Freibad Zwischen den Hölzern,25,offen
2026-07-13 13:45:05,flb6942,Männerbad Schanzengraben,25,offen
2026-07-13 13:45:05,seb6943,Seebad Enge,26,offen
2026-07-13 13:45:05,seb6945,Seebad Utoquai,24,offen
2026-07-13 13:45:05,seb6946,Strandbad Mythenquai,26,offen
2026-07-13 13:45:05,seb6947,Strandbad Tiefenbrunnen,25,offen
2026-07-13 13:45:05,seb6948,Strandbad Wollishofen,26,offen
2026-07-13 13:59:21,flb6938,Flussbad Au-Höngg,24,offen
2026-07-13 13:59:21,flb6939,Flussbad Oberer Letten,24,offen
2026-07-13 13:59:21,flb6940,Flussbad Unterer Letten,24,offen
2026-07-13 13:59:21,flb8803,Flussbad Unterer Letten,24,offen
2026-07-13 13:59:21,flb6941,Frauenbad Stadthausquai,25,offen
2026-07-13 13:59:21,fb006,Freibad Allenmoos,25,offen
2026-07-13 13:59:21,fb008,Freibad Auhof,25,offen
2026-07-13 13:59:21,fb016,Freibad Dolder,24,offen
2026-07-13 13:59:21,fb012,Freibad Heuried,26,offen
2026-07-13 13:59:21,fb002,Freibad Letzigraben,25,offen
2026-07-13 13:59:21,fb013,Freibad Seebach,25,offen
2026-07-13 13:59:21,fb018,Freibad Zwischen den Hölzern,25,offen
2026-07-13 13:59:21,flb6942,Männerbad Schanzengraben,25,offen
2026-07-13 13:59:21,seb6943,Seebad Enge,26,offen
2026-07-13 13:59:21,seb6945,Seebad Utoquai,24,offen
2026-07-13 13:59:21,seb6946,Strandbad Mythenquai,26,offen
2026-07-13 13:59:21,seb6947,Strandbad Tiefenbrunnen,25,offen
2026-07-13 13:59:21,seb6948,Strandbad Wollishofen,26,offen
2026-07-13 14:00:07,flb6938,Flussbad Au-Höngg,24,offen
2026-07-13 14:00:07,flb6939,Flussbad Oberer Letten,24,offen
2026-07-13 14:00:07,flb6940,Flussbad Unterer Letten,24,offen
2026-07-13 14:00:07,flb8803,Flussbad Unterer Letten,24,offen
2026-07-13 14:00:07,flb6941,Frauenbad Stadthausquai,25,offen
2026-07-13 14:00:07,fb006,Freibad Allenmoos,25,offen
2026-07-13 14:00:07,fb008,Freibad Auhof,25,offen
2026-07-13 14:00:07,fb016,Freibad Dolder,24,offen
2026-07-13 14:00:07,fb012,Freibad Heuried,26,offen
2026-07-13 14:00:07,fb002,Freibad Letzigraben,25,offen
2026-07-13 14:00:07,fb013,Freibad Seebach,25,offen
2026-07-13 14:00:07,fb018,Freibad Zwischen den Hölzern,25,offen
2026-07-13 14:00:07,flb6942,Männerbad Schanzengraben,25,offen
2026-07-13 14:00:07,seb6943,Seebad Enge,26,offen
2026-07-13 14:00:07,seb6945,Seebad Utoquai,24,offen
2026-07-13 14:00:07,seb6946,Strandbad Mythenquai,26,offen
2026-07-13 14:00:07,seb6947,Strandbad Tiefenbrunnen,25,offen
2026-07-13 14:00:07,seb6948,Strandbad Wollishofen,26,offen
2026-07-13 14:14:20,flb6938,Flussbad Au-Höngg,24,offen
2026-07-13 14:14:20,flb6939,Flussbad Oberer Letten,24,offen
2026-07-13 14:14:20,flb6940,Flussbad Unterer Letten,24,offen
2026-07-13 14:14:20,flb8803,Flussbad Unterer Letten,24,offen
2026-07-13 14:14:20,flb6941,Frauenbad Stadthausquai,25,offen
2026-07-13 14:14:20,fb006,Freibad Allenmoos,25,offen
2026-07-13 14:14:20,fb008,Freibad Auhof,25,offen
2026-07-13 14:14:20,fb016,Freibad Dolder,24,offen
2026-07-13 14:14:20,fb012,Freibad Heuried,26,offen
2026-07-13 14:14:20,fb002,Freibad Letzigraben,25,offen
2026-07-13 14:14:20,fb013,Freibad Seebach,25,offen
2026-07-13 14:14:20,fb018,Freibad Zwischen den Hölzern,25,offen
2026-07-13 14:14:20,flb6942,Männerbad Schanzengraben,25,offen
2026-07-13 14:14:20,seb6943,Seebad Enge,26,offen
2026-07-13 14:14:20,seb6945,Seebad Utoquai,24,offen
2026-07-13 14:14:20,seb6946,Strandbad Mythenquai,26,offen
2026-07-13 14:14:20,seb6947,Strandbad Tiefenbrunnen,25,offen
2026-07-13 14:14:20,seb6948,Strandbad Wollishofen,26,offen
2026-07-13 14:15:04,flb6938,Flussbad Au-Höngg,24,offen
2026-07-13 14:15:04,flb6939,Flussbad Oberer Letten,24,offen
2026-07-13 14:15:04,flb6940,Flussbad Unterer Letten,24,offen
2026-07-13 14:15:04,flb8803,Flussbad Unterer Letten,24,offen
2026-07-13 14:15:04,flb6941,Frauenbad Stadthausquai,25,offen
2026-07-13 14:15:04,fb006,Freibad Allenmoos,25,offen
2026-07-13 14:15:04,fb008,Freibad Auhof,25,offen
2026-07-13 14:15:04,fb016,Freibad Dolder,24,offen
2026-07-13 14:15:04,fb012,Freibad Heuried,26,offen
2026-07-13 14:15:04,fb002,Freibad Letzigraben,25,offen
2026-07-13 14:15:04,fb013,Freibad Seebach,25,offen
2026-07-13 14:15:04,fb018,Freibad Zwischen den Hölzern,25,offen
2026-07-13 14:15:04,flb6942,Männerbad Schanzengraben,25,offen
2026-07-13 14:15:04,seb6943,Seebad Enge,26,offen
2026-07-13 14:15:04,seb6945,Seebad Utoquai,24,offen
2026-07-13 14:15:04,seb6946,Strandbad Mythenquai,26,offen
2026-07-13 14:15:04,seb6947,Strandbad Tiefenbrunnen,25,offen
2026-07-13 14:15:04,seb6948,Strandbad Wollishofen,26,offen
2026-07-13 14:29:17,flb6938,Flussbad Au-Höngg,24,offen
2026-07-13 14:29:17,flb6939,Flussbad Oberer Letten,25,offen
2026-07-13 14:29:17,flb6940,Flussbad Unterer Letten,24,offen
2026-07-13 14:29:17,flb8803,Flussbad Unterer Letten,24,offen
2026-07-13 14:29:17,flb6941,Frauenbad Stadthausquai,25,offen
2026-07-13 14:29:17,fb006,Freibad Allenmoos,25,offen
2026-07-13 14:29:17,fb008,Freibad Auhof,25,offen
2026-07-13 14:29:17,fb016,Freibad Dolder,24,offen
2026-07-13 14:29:17,fb012,Freibad Heuried,26,offen
2026-07-13 14:29:17,fb002,Freibad Letzigraben,25,offen
2026-07-13 14:29:17,fb013,Freibad Seebach,25,offen
2026-07-13 14:29:17,fb018,Freibad Zwischen den Hölzern,25,offen
2026-07-13 14:29:17,flb6942,Männerbad Schanzengraben,25,offen
2026-07-13 14:29:17,seb6943,Seebad Enge,26,offen
2026-07-13 14:29:17,seb6945,Seebad Utoquai,24,offen
2026-07-13 14:29:17,seb6946,Strandbad Mythenquai,26,offen
2026-07-13 14:29:17,seb6947,Strandbad Tiefenbrunnen,25,offen
2026-07-13 14:29:17,seb6948,Strandbad Wollishofen,26,offen
2026-07-13 14:30:04,flb6938,Flussbad Au-Höngg,24,offen
2026-07-13 14:30:04,flb6939,Flussbad Oberer Letten,25,offen
2026-07-13 14:30:04,flb6940,Flussbad Unterer Letten,24,offen
2026-07-13 14:30:04,flb8803,Flussbad Unterer Letten,24,offen
2026-07-13 14:30:04,flb6941,Frauenbad Stadthausquai,25,offen
2026-07-13 14:30:04,fb006,Freibad Allenmoos,25,offen
2026-07-13 14:30:04,fb008,Freibad Auhof,25,offen
2026-07-13 14:30:04,fb016,Freibad Dolder,24,offen
2026-07-13 14:30:04,fb012,Freibad Heuried,26,offen
2026-07-13 14:30:04,fb002,Freibad Letzigraben,25,offen
2026-07-13 14:30:04,fb013,Freibad Seebach,25,offen
2026-07-13 14:30:04,fb018,Freibad Zwischen den Hölzern,25,offen
2026-07-13 14:30:04,flb6942,Männerbad Schanzengraben,25,offen
2026-07-13 14:30:04,seb6943,Seebad Enge,26,offen
2026-07-13 14:30:04,seb6945,Seebad Utoquai,24,offen
